Training Record ID,Routeway,Days On Programme,Age at Induction,Actual Learner Type,Maths GCSE Grade,English GCSE Grade,Company Size,Industry,Appr Opp Concern,Apprentice Salary,Ethnicity,Gender,LLDD Health Prob
33512,SWD,366,29,WFD,N/A,N/A,250-499,Computers & Electronics,,"23,000",34,F,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
33511,SWD,366,22,WFD,B,B,250-499,Computers & Electronics,,"23,000",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
33510,SWD,366,24,WFD,N/A,N/A,250-499,Computers & Electronics,,"23,000",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
33509,SWD,366,29,WFD,B,A,250-499,Computers & Electronics,,"23,000",31,F,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
33200,DA,452,25,New Apprentice,A,A,Oct-49,Real Estate,,"23,000",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
34696,DM,369,22,New Apprentice,C,C,250-499,Law & Government,,"22,991",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
33551,DA,377,31,New Apprentice,A,B,250-499,People & Society,,"22,824",47,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
35404,DM,376,25,New Apprentice,b,b,Oct-49,Food & Drink,,"22,600",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
33205,DA,406,27,New Apprentice,D,C,50-249,Finance,,"22,600",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
33036,DA,368,42,WFD,N/A,N/A,500-999,Health,,"22,549",31,F,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
35428,IT,401,21,WFD,.,.,250-499,Health,,"22,500",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
35365,IT,370,36,Straight Sign Up,C,C,Oct-49,Finance,,"22,500",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
34513,DA,386,19,New Apprentice,7,5,"1,000+",Finance,,"22,500",31,M,1 Learner considers himself or herself to have a learning difficulty and/or disability and/or health problem
33092,DM,513,19,New Apprentice,4,4,,Law & Government,,"22,500",38,F,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
35045,IT,370,39,New Apprentice,L2,C,50-249,Finance,DC 26/01/23 - Initial concerns with the role and getting hardware evidence remotely escalated to MC & JP. Employer gave screenshot evidence of how the standard could be met signed off after checks by MC,"22,369",31,M,1 Learner considers himself or herself to have a learning difficulty and/or disability and/or health problem
36335,DA,374,32,WFD,-,-,250-499,Jobs & Education,,"22,000",31,F,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
36049,DA,368,25,New Apprentice,B,B,Oct-49,Jobs & Education,,"22,000",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
35805,DA,508,30,WFD,C,B,"1,000+",Business & Industrial,,"22,000",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
35608,IT,370,19,New Apprentice,4,5,Oct-49,Health,,"22,000",34,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
35398,DA,393,38,WFD,FS,FS,250-499,Jobs & Education,,"22,000",34,F,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
34943,DM,390,25,WFD,C,A,50-249,Law & Government,,"22,000",31,F,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
34595,IT,498,22,Straight Sign Up,3,P,Oct-49,Jobs & Education,,"22,000",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
34542,DM,370,24,New Apprentice,C,B,250-499,Computers & Electronics,,"22,000",31,F,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
34531,DM,370,18,New Apprentice,B,6,250-499,Computers & Electronics,,"22,000",31,F,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
34420,DA,367,18,New Apprentice,7,7,50-249,Business & Industrial,,"22,000",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
34419,DA,373,42,New Apprentice,na,na,250-499,Internet & Telecom,,"22,000",44,F,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
34402,IT,368,30,WFD,C,C,50-249,Finance,,"22,000",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
34364,IT,370,19,New Apprentice,9,8,250-499,Computers & Electronics,"DC 05/07/22 - Duty 2 & 10 lack detail however hit the standard, sent back twice already but confident the role fits","22,000",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
34110,IT,372,19,Straight Sign Up,.,.,250-499,Computers & Electronics,,"22,000",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
34044,IT,367,27,New Apprentice,D,D,250-499,Home & Garden,Hybrid working approved by LP,"22,000",46,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
33935,SWD,367,30,WFD,N/A,N/A,500-999,Business & Industrial,,"22,000",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
33821,DM,372,21,New Apprentice,8,7,01-Sep,Business & Industrial,,"22,000",31,F,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
33742,DA,386,25,New Apprentice,C,D,Oct-49,Computers & Electronics,,"22,000",44,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
33599,DA,370,24,New Apprentice,B,B,50-249,Business & Industrial,,"22,000",34,F,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
33598,DA,370,22,New Apprentice,4,5,50-249,Business & Industrial,,"22,000",31,F,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
33561,IT,367,25,New Apprentice,C,C,50-249,Sports,DC 02/03/22 - initial concerns with the role - Amanda went back got JD and questioned further. Happy with the role now signed off by DC/JP,"22,000",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
33538,SWD,380,26,Straight Sign Up,N/A,N/A,50-249,Games,,"22,000",43,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
33479,DM,395,25,New Apprentice,C,C,Oct-49,Home & Garden,,"22,000",31,F,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
32870,IT,373,25,Straight Sign Up,C,B,01-Sep,Computers & Electronics,,"22,000",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
34125,SWD,368,23,New Apprentice,B,A,Oct-49,Science,,"21,840",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
33974,IT,376,23,New Apprentice,A,B,50-249,Computers & Electronics,,"21,547",39,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
33972,IT,371,20,New Apprentice,4,4,50-249,Computers & Electronics,,"21,547",44,M,1 Learner considers himself or herself to have a learning difficulty and/or disability and/or health problem
34162,SWD,372,32,Straight Sign Up,B,A,500-999,Finance,,"21,500",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
34105,IT,372,24,Straight Sign Up,.,.,500-999,Finance,,"21,500",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
33392,DM,377,23,New Apprentice,A,A,50-249,Business & Industrial,,"21,500",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
33388,DM,373,23,New Apprentice,B,B,50-249,Business & Industrial,,"21,500",43,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
32952,IT,372,25,WFD,C,B,"1,000+",Law & Government,,"21,300",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
34414,DA,372,21,New Apprentice,8,6,250-499,Sports,,"21,150",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
35399,DA,383,22,WFD,5,5,50-249,Autos & Vehicles,,"21,115",35,F,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
35582,DM,383,21,New Apprentice,4,6,Oct-49,Computers & Electronics,,"21,000",37,F,1 Learner considers himself or herself to have a learning difficulty and/or disability and/or health problem
35371,DM,395,22,New Apprentice,5,5,Oct-49,Internet & Telecom,SJ 27/03/2023 - ML confirmed she is happy with the level of support and workload for two additional apprentices.,"21,000",98,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
35369,DM,395,24,New Apprentice,C,C,Oct-49,Internet & Telecom,,"21,000",35,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
34942,DM,401,22,New Apprentice,A,A*,50-249,Health,,"21,000",31,F,1 Learner considers himself or herself to have a learning difficulty and/or disability and/or health problem
34789,DM,377,22,WFD,N/A,N/A,"1,000+",Business & Industrial,SJ - GA signed off hybrid,"21,000",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
34615,SWD,401,29,New Apprentice,B,A,Oct-49,Finance,,"21,000",34,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
34230,DA,366,24,New Apprentice,A*,B,500-999,Real Estate,,"21,000",39,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
34207,IT,380,18,New Apprentice,6,8,500-999,Finance,,"21,000",39,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
34159,SWD,367,19,New Apprentice,6,5,500-999,Real Estate,,"21,000",39,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
34014,IT,448,16,New Apprentice,4,5,50-249,Law & Government,,"21,000",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
33983,DM,371,18,New Apprentice,5,6,50-249,Computers & Electronics,"OB - 17/05 - Some issues with communication platforms that the app will use (duty 4), app wont have much exposure to this independently but will shadow others and write some responses themselves. Not an issue but worth a mention.","21,000",46,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
33925,DA,373,37,WFD,N/A,N/A,50-249,Home & Garden,,"21,000",31,F,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
33848,IT,369,20,New Apprentice,5,5,Oct-49,Real Estate,,"21,000",31,M,1 Learner considers himself or herself to have a learning difficulty and/or disability and/or health problem
33636,SWD,373,28,New Apprentice,A,B,Oct-49,Finance,,"21,000",43,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
32940,DM,380,22,New Apprentice,B,A*,Oct-49,Internet & Telecom,,"21,000",31,F,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
32720,DA,466,20,New Apprentice,6,8,50-249,Health,,"21,000",43,F,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
35290,DM,372,30,WFD,C,B,"1,000+",Law & Government,OB - apprentice will be supported by external DM company that supports the council. Happy that there is plenty support in place within the council too,"20,742",45,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
35289,DM,372,19,WFD,4,7,"1,000+",Law & Government,OB - apprentice will be supported by external DM company that supports the council. Happy that there is plenty support in place within the council too,"20,742",45,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
34209,IT,366,24,New Apprentice,C,C,"1,000+",Business & Industrial,,"20,600",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
35053,DM,385,21,New Apprentice,6,6,Oct-49,Business & Industrial,,"20,500",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
34238,IT,368,22,New Apprentice,5,4,"1,000+",Business & Industrial,,"20,500",31,M,1 Learner considers himself or herself to have a learning difficulty and/or disability and/or health problem
35540,DA,374,22,New Apprentice,4,4,250-499,Home & Garden,,"20,319",31,F,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
33495,IT,380,31,WFD,N/A,N/A,50-249,Jobs & Education,,"20,043",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
35047,IT,374,19,New Apprentice,5,5,"1,000+",Business & Industrial,,"20,012",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
36183,IT,367,16,Straight Sign Up,.,.,"1,000+",Business & Industrial,,"20,000",31,F,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
35744,SWD,369,19,New Apprentice,7,8,Oct-49,Internet & Telecom,,"20,000",98,F,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
35699,IT,371,24,WFD,N/A,C,"1,000+",Business & Industrial,,"20,000",35,M,1 Learner considers himself or herself to have a learning difficulty and/or disability and/or health problem
35696,IT,368,24,New Apprentice,B,C,500-999,Business & Industrial,,"20,000",31,M,1 Learner considers himself or herself to have a learning difficulty and/or disability and/or health problem
35680,DM,371,19,New Apprentice,4,5,50-249,Business & Industrial,,"20,000",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
35359,IT,370,25,New Apprentice,C,B,500-999,People & Society,,"20,000",40,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
35173,DA,367,26,WFD,C,D,"1,000+",Law & Government,13/03/2023 SJ - the candidate scored low on BKSB for English but Mehwish comfortable she can get him through FS in English.,"20,000",31,M,1 Learner considers himself or herself to have a learning difficulty and/or disability and/or health problem
35168,DA,367,25,New Apprentice,C,C,50-249,Computers & Electronics,,"20,000",44,F,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
35153,IT,375,36,New Apprentice,B,B,01-Sep,Internet & Telecom,,"20,000",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
35055,DM,385,22,New Apprentice,4,4,Oct-49,Real Estate,,"20,000",31,F,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
35054,DM,385,27,New Apprentice,B,B,Oct-49,Real Estate,,"20,000",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
34994,DM,418,27,WFD,A,A,Oct-49,Business & Industrial,,"20,000",32,F,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
34988,DM,378,25,WFD,B,C,01-Sep,Internet & Telecom,,"20,000",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
34903,DM,397,28,New Apprentice,A,A,Oct-49,Internet & Telecom,,"20,000",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
34851,IT,366,22,New Apprentice,4,4,50-249,Computers & Electronics,,"20,000",44,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
34843,IT,369,27,WFD,C,C,Oct-49,Computers & Electronics,,"20,000",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
34816,SWD,374,19,WFD,5,4,"1,000+",Finance,DC 16/01/23 - Initially L4 but screening found the candidates to be L4. The new SWL3 ILP lacks detail however confident the role fits - don't want to go back and forth for a poor customer experience. Next new app needs more depth on ILP,"20,000",31,M,1 Learner considers himself or herself to have a learning difficulty and/or disability and/or health problem
34788,DM,373,20,New Apprentice,5,7,250-499,Travel & Transportation,,"20,000",31,F,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
34758,DM,397,23,New Apprentice,7,6,500-999,Health,,"20,000",31,F,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
34719,IT,378,24,New Apprentice,C,C,01-Sep,Internet & Telecom,,"20,000",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
34715,IT,378,28,New Apprentice,A,C,Oct-49,Computers & Electronics,,"20,000",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
34693,DM,392,18,New Apprentice,8,6,Oct-49,Business & Industrial,,"20,000",44,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
34624,DM,371,24,New Apprentice,A,A,Oct-49,Business & Industrial,OB - Mentor works remotely. Happy with support in place and 2x people who support the marketing that are in house,"20,000",31,F,1 Learner considers himself or herself to have a learning difficulty and/or disability and/or health problem
34619,DM,409,22,New Apprentice,6,6,"1,000+",Business & Industrial,,"20,000",31,F,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
34577,DM,367,22,New Apprentice,B,A,01-Sep,Internet & Telecom,,"20,000",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
34519,IT,379,19,Straight Sign Up,4,4,"1,000+",Business & Industrial,,"20,000",44,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
34418,DA,373,18,New Apprentice,7,6,Oct-49,Autos & Vehicles,,"20,000",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
34409,DA,373,31,New Apprentice,B,B,Oct-49,Business & Industrial,,"20,000",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
34328,SWD,367,32,New Apprentice,5,L2,50-249,Business & Industrial,,"20,000",34,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
34327,SWD,395,27,New Apprentice,N/A,C,50-249,Business & Industrial,,"20,000",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
34164,IT,371,23,WFD,.,.,Oct-49,Computers & Electronics,,"20,000",31,M,1 Learner considers himself or herself to have a learning difficulty and/or disability and/or health problem
34154,SWD,372,22,Straight Sign Up,C,A,"1,000+",Business & Industrial,DC/JP 25/08/22- Initially L4 however candidate had limited coding experience so L3. Wanted to move candidate across multiple departments - Laura S got confirmation the apprentice will be a developer for a minimum of 9 months.  Speak to JP/DC if any issues,"20,000",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
34144,DM,371,25,WFD,.,.,Oct-49,Business & Industrial,,"20,000",43,F,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
34041,IT,372,17,Straight Sign Up,5,6,250-499,Finance,,"20,000",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
33977,IT,369,32,WFD,N/A,N/A,500-999,Shopping,,"20,000",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
33970,IT,450,20,New Apprentice,5,6,250-499,Finance,,"20,000",41,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
33685,DA,366,32,WFD,D,N/A,"1,000+",Law & Government,,"20,000",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
33650,IT,375,24,WFD,C,C,250-499,Arts & Entertainment,,"20,000",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
33648,IT,420,44,WFD,N/A,N/A,500-999,Law & Government,"28/04 - LM - Candidate is dropping from 21750 to 20000, him and partner have done all calculations and have no concerns over this.","20,000",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
33639,SWD,366,24,Straight Sign Up,C,C,01-Sep,Business & Industrial,,"20,000",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
33638,SWD,366,22,New Apprentice,B,B,50-249,Business & Industrial,,"20,000",99,F,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
33628,IT,399,26,New Apprentice,B,C,Oct-49,Computers & Electronics,,"20,000",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
33603,SWD,369,19,New Apprentice,7,6,"1,000+",Business & Industrial,,"20,000",31,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
33597,DA,370,19,New Apprentice,9,6,500-999,Shopping,,"20,000",31,F,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
33517,SWD,386,21,New Apprentice,7,5,250-499,Finance,,"20,000",43,M,2 Learner does not consider himself or herself to have a learning difficulty and/or disability and/or health problem
